Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
HSL	231	1.5627705627705628	733.7329626543838	0.7149290619022448	0.21322083208549264
HSL	226	1.5973451327433628	730.2010454002462	0.7330617832781007	0.20997838614634426
HSL	222	1.6261261261261262	737.0743199985598	0.7279999517378323	0.22123844340152019
HSL	217	1.663594470046083	736.5772552844385	0.727969175378201	0.2246644952526732
HSL	213	1.6948356807511737	737.9721054586827	0.7331060586980481	0.22853158943399693
HSL	209	1.7272727272727273	739.009105049623	0.7450764447740501	0.23126827348896375
HSL	205	1.7609756097560976	737.8773580761933	0.7529650964809786	0.2323673726211123
HSL	200	1.805	741.0729832115954	0.7369866727513611	0.24322358615675443
HSL	196	1.8418367346938775	738.381117788693	0.7438677160810745	0.2431022816621781
HSL	192	1.8802083333333333	735.7553677951105	0.758427384982209	0.24147948237709121
HSL	189	1.91005291005291	740.6013400986465	0.7401758906959393	0.2527880608734999
HSL	185	1.9513513513513514	763.9435953432543	0.6600691286477248	0.2980552731519156
HSL	181	1.9944751381215469	762.333553992656	0.6687472584314578	0.297650785520714
HSL	177	2.0395480225988702	765.8441313525996	0.6555492813095419	0.30804093782285114
HSL	174	2.074712643678161	764.3839377092987	0.66820479218386	0.3063756508251036
HSL	170	2.123529411764706	765.6445100603864	0.6757673753959055	0.3101253251881312
HSL	167	2.161676646706587	763.435798784091	0.6904675989725118	0.30742469179641063
HSL	164	2.201219512195122	762.0571283635145	0.6998727129557505	0.3075611508542216
